"Sektor","Indonesian Title","English Translation","Indonesian Description","English Description","Source Type"
"Minyak Gas dan Pertambangan","Skema Okupasi Welding Engineer","Welding Engineer","Skema sertifikasi Welding Engineer dikembangkan oleh LSP PPSDM Migas mengacu pada SKKNI Bidang Teknik Las dan standar AWS/IIW. Mencakup kompetensi perancangan prosedur pengelasan (WPS), kualifikasi prosedur dan juru las, pemilihan material dan elektroda, serta analisis kegagalan las.","The Welding Engineer scheme references the SKKNI Welding Engineering Field and AWS/IIW standards. It covers welding procedure specification (WPS) design, procedure and welder qualification, material and electrode selection, and weld failure analysis competencies.","Template-based / SKKNI Migas"
"Minyak Gas dan Pertambangan","Skema Okupasi Petugas Penanganan Bahaya H2S","H2S Hazard Handling Officer","Skema sertifikasi Petugas Penanganan Bahaya H2S dikembangkan oleh LSP PPSDM Migas mengacu pada SKKNI Bidang K3 Migas Sub-bidang Bahaya Gas H2S. Mencakup kompetensi pengenalan sifat H2S, penggunaan alat pelindung diri terhadap H2S, prosedur evakuasi darurat H2S, dan tindakan pertolongan pertama pada keracunan H2S.","The H2S Hazard Handling Officer scheme references the SKKNI Oil & Gas K3 Field – H2S Gas Hazard Sub-field. It covers H2S properties recognition, H2S personal protective equipment use, H2S emergency evacuation procedures, and first aid for H2S poisoning competencies.","Template-based / SKKNI Migas"
"Minyak Gas dan Pertambangan","Skema Okupasi Pipeline Checker","Pipeline Checker","Skema sertifikasi Pipeline Checker dikembangkan oleh LSP PPSDM Migas mengacu pada SKKNI Bidang Integritas Pipa Penyalur Migas. Mencakup kompetensi inspeksi visual pipa penyalur, pengukuran korosi, identifikasi anomali pipa, dan pencatatan data inspeksi pipa.","The Pipeline Checker scheme references the SKKNI Oil & Gas Pipeline Integrity Field. It covers pipeline visual inspection, corrosion measurement, pipeline anomaly identification, and pipeline inspection data recording competencies.","Template-based / SKKNI Migas"
"Minyak Gas dan Pertambangan","Skema Okupasi Teknisi Lapangan ILI","ILI Field Technician","Skema sertifikasi Teknisi Lapangan ILI (In-Line Inspection) dikembangkan oleh LSP PPSDM Migas mengacu pada SKKNI Bidang Integritas Pipa Penyalur Migas. Mencakup kompetensi persiapan dan peluncuran pig ILI, pengoperasian peralatan tracking, pengambilan data ILI, dan pelaporan hasil inspeksi in-line.","The ILI Field Technician scheme references the SKKNI Oil & Gas Pipeline Integrity Field. It covers ILI pig launching preparation, tracking equipment operation, ILI data collection, and in-line inspection results reporting competencies.","Template-based / SKKNI Migas"
"Minyak Gas dan Pertambangan","Skema Okupasi Supervisor Operasi dan Pemeliharaan Pipa Penyalur","Pipeline Operations & Maintenance Supervisor","Skema sertifikasi Supervisor Operasi dan Pemeliharaan Pipa Penyalur dikembangkan oleh LSP PPSDM Migas mengacu pada SKKNI Bidang Pengoperasian dan Pemeliharaan Fasilitas Penyalur Migas. Mencakup kompetensi supervisi operasi pipa, pelaksanaan program pemeliharaan, manajemen risiko integritas pipa, dan koordinasi perbaikan pipa.","The Pipeline Operations & Maintenance Supervisor scheme references the SKKNI Oil & Gas Pipeline Operations & Maintenance Field. It covers pipeline operation supervision, maintenance program implementation, pipeline integrity risk management, and pipeline repair coordination competencies.","Template-based / SKKNI Migas"
"Minyak Gas dan Pertambangan","Skema Okupasi Pipeline Integrity Management System (PIMS) Auditor","PIMS Auditor","Skema sertifikasi PIMS Auditor dikembangkan oleh LSP PPSDM Migas mengacu pada SKKNI Bidang Manajemen Integritas Pipa Penyalur Migas dan standar ASME B31.8S/API 1160. Mencakup kompetensi audit sistem manajemen integritas pipa, evaluasi program PIMS, dan rekomendasi perbaikan sistem integritas pipa penyalur.","The PIMS Auditor scheme references the SKKNI Pipeline Integrity Management System Field and ASME B31.8S/API 1160 standards. It covers pipeline integrity management system auditing, PIMS program evaluation, and pipeline integrity system improvement recommendation competencies.","Template-based / SKKNI Migas"
"Minyak Gas dan Pertambangan","Skema Okupasi AIMS Engineer","Asset Integrity Management System Engineer","Skema sertifikasi AIMS Engineer dikembangkan oleh LSP PPSDM Migas mengacu pada SKKNI Bidang Manajemen Integritas Aset Migas. Mencakup kompetensi perancangan dan implementasi sistem manajemen integritas aset migas, analisis risiko berbasis integritas (RBI), dan pengelolaan database integritas aset.","The AIMS Engineer scheme references the SKKNI Oil & Gas Asset Integrity Management Field. It covers designing and implementing oil & gas asset integrity management systems, Risk-Based Inspection (RBI) analysis, and asset integrity database management competencies.","Template-based / SKKNI Migas"
"Minyak Gas dan Pertambangan","Skema Okupasi Penanggung Jawab Operasional Instalasi Pengendalian Pencemaran Udara (POPU)","Person in Charge of Air Pollution Control Installation","Skema sertifikasi POPU (Penanggung Jawab Operasional Pengendalian Pencemaran Udara) dikembangkan mengacu pada SKKNI Bidang Pengendalian Pencemaran Udara berdasarkan PP No. 22 Tahun 2021. Mencakup kompetensi pengoperasian instalasi pengendalian emisi udara, pemantauan kualitas udara, dan pelaporan emisi kepada instansi lingkungan.","The POPU scheme references the SKKNI Air Pollution Control Field under PP No. 22 of 2021. It covers operating air emission control installations, air quality monitoring, and emission reporting to environmental authorities competencies.","Template-based / SKKNI LH"
"Minyak Gas dan Pertambangan","Skema Okupasi Operasional Pengelolaan Limbah B3 (OPLB3)","B3 Hazardous Waste Operational Management","Skema sertifikasi OPLB3 dikembangkan mengacu pada SKKNI Bidang Pengelolaan Limbah Bahan Berbahaya dan Beracun berdasarkan PP No. 22 Tahun 2021. Mencakup kompetensi identifikasi dan pengelompokan limbah B3, prosedur penanganan limbah B3, penyimpanan sementara, dan manifes limbah B3.","The OPLB3 scheme references the SKKNI B3 Hazardous Waste Management Field under PP No. 22 of 2021. It covers B3 waste identification and classification, B3 waste handling procedures, temporary storage, and B3 waste manifest competencies.","Template-based / SKKNI LH"
"Minyak Gas dan Pertambangan","Skema Okupasi Pengelolaan Bahan Peledak di Pengeboran dan Kerja Ulang","Explosives Management in Drilling & Workover","Skema sertifikasi Pengelolaan Bahan Peledak di Pengeboran dan Kerja Ulang dikembangkan mengacu pada SKKNI berdasarkan Kepmenaker No. 124 Tahun 2023 tentang Penetapan SKKNI Bidang Pengelolaan Bahan Peledak di Pengeboran Migas dan Kerja Ulang. Mencakup kompetensi penanganan, penyimpanan, dan penggunaan bahan peledak dalam operasi pengeboran dan kerja ulang sumur migas.","The Explosives Management in Drilling & Workover scheme references SKKNI Kepmenaker No. 124 of 2023. It covers explosives handling, storage, and use in oil & gas drilling and well workover operations competencies.","Template-based / Kepmenaker 124/2023"
"Minyak Gas dan Pertambangan","Skema Okupasi Leak Test Level II","Leak Test Level II","Skema sertifikasi Leak Test Level II dikembangkan oleh LSP PPSDM Migas mengacu pada SKKNI Bidang Pengujian Tidak Merusak (NDT) Sub-bidang Leak Test dan standar ASNT/EN ISO 9712. Level II mencakup kompetensi pelaksanaan dan interpretasi uji kebocoran, pemilihan metode uji, dan penyusunan laporan hasil uji kebocoran.","The Leak Test Level II scheme references the SKKNI Non-Destructive Testing (NDT) – Leak Test Sub-field and ASNT/EN ISO 9712 standards. Level II covers leak test execution and interpretation, test method selection, and leak test result report preparation competencies.","Template-based / SKKNI NDT"
"Minyak Gas dan Pertambangan","Skema Okupasi Leak Test Level III","Leak Test Level III","Skema sertifikasi Leak Test Level III mengacu pada SKKNI Bidang NDT Sub-bidang Leak Test dan standar ASNT/EN ISO 9712. Level III mencakup kompetensi pengembangan prosedur uji kebocoran, kualifikasi personel, dan otorisasi hasil pengujian kebocoran.","The Leak Test Level III scheme references the SKKNI NDT – Leak Test Sub-field and ASNT/EN ISO 9712 standards. Level III covers leak test procedure development, personnel qualification, and leak test results authorization competencies.","Template-based / SKKNI NDT"
"Minyak Gas dan Pertambangan","Skema Okupasi Ultrasonic Test Level I","UT Level I","Skema sertifikasi Ultrasonic Test Level I dikembangkan oleh LSP PPSDM Migas mengacu pada SKKNI Bidang NDT Sub-bidang Ultrasonic Test dan standar ASNT/EN ISO 9712. Level I mencakup kompetensi pengoperasian peralatan UT, kalibrasi, pelaksanaan scanning sesuai prosedur, dan pencatatan hasil indikasi.","The Ultrasonic Test Level I scheme references the SKKNI NDT – Ultrasonic Test Sub-field and ASNT/EN ISO 9712 standards. Level I covers UT equipment operation, calibration, scanning execution per procedure, and indication result recording competencies.","Template-based / SKKNI NDT"
"Minyak Gas dan Pertambangan","Skema Okupasi Ultrasonic Test Level II","UT Level II","Skema sertifikasi Ultrasonic Test Level II mengacu pada SKKNI Bidang NDT Sub-bidang Ultrasonic Test dan standar ASNT/EN ISO 9712. Level II mencakup kompetensi interpretasi hasil UT, penetapan penerimaan/penolakan, pemilihan teknik UT, dan penyusunan laporan UT.","The Ultrasonic Test Level II scheme references the SKKNI NDT – Ultrasonic Test Sub-field and ASNT/EN ISO 9712 standards. Level II covers UT result interpretation, accept/reject determination, UT technique selection, and UT report preparation competencies.","Template-based / SKKNI NDT"
"Minyak Gas dan Pertambangan","Skema Okupasi Ultrasonic Test Level III Advance","UT Level III Advance","Skema sertifikasi Ultrasonic Test Level III Advance mengacu pada SKKNI Bidang NDT Sub-bidang Ultrasonic Test dan standar ASNT/EN ISO 9712. Level III mencakup kompetensi pengembangan teknik dan prosedur UT, kualifikasi personel UT, dan otorisasi keputusan teknis pengujian ultrasonic.","The Ultrasonic Test Level III Advance scheme references the SKKNI NDT – Ultrasonic Test Sub-field and ASNT/EN ISO 9712 standards. Level III covers UT technique and procedure development, UT personnel qualification, and authorization of ultrasonic testing technical decisions.","Template-based / SKKNI NDT"
"Minyak Gas dan Pertambangan","Skema Okupasi Radiography Test Level I","RT Level I","Skema sertifikasi Radiography Test Level I dikembangkan oleh LSP PPSDM Migas mengacu pada SKKNI Bidang NDT Sub-bidang Radiography Test dan standar ASNT/EN ISO 9712. Level I mencakup kompetensi persiapan dan pelaksanaan pemotretan radiografik sesuai prosedur, penanganan film/detektor, dan keselamatan radiasi dasar.","The Radiography Test Level I scheme references the SKKNI NDT – Radiography Test Sub-field and ASNT/EN ISO 9712 standards. Level I covers radiographic exposure preparation and execution per procedure, film/detector handling, and basic radiation safety competencies.","Template-based / SKKNI NDT"
"Minyak Gas dan Pertambangan","Skema Okupasi Radiography Test Level II","RT Level II","Skema sertifikasi Radiography Test Level II mengacu pada SKKNI Bidang NDT Sub-bidang Radiography Test dan standar ASNT/EN ISO 9712. Level II mencakup kompetensi interpretasi film radiografik, penetapan penerimaan/penolakan diskontinuitas, dan penyusunan laporan RT.","The Radiography Test Level II scheme references the SKKNI NDT – Radiography Test Sub-field and ASNT/EN ISO 9712 standards. Level II covers radiographic film interpretation, discontinuity accept/reject determination, and RT report preparation competencies.","Template-based / SKKNI NDT"
"Minyak Gas dan Pertambangan","Skema Okupasi Radiography Test Level III Advance","RT Level III Advance","Skema sertifikasi Radiography Test Level III Advance mengacu pada SKKNI Bidang NDT Sub-bidang Radiography Test dan standar ASNT/EN ISO 9712. Level III mencakup kompetensi pengembangan teknik dan prosedur RT, kualifikasi personel RT Level I dan II, serta otorisasi keputusan teknis pengujian radiografi.","The Radiography Test Level III Advance scheme references the SKKNI NDT – Radiography Test Sub-field and ASNT/EN ISO 9712 standards. Level III covers RT technique and procedure development, Level I and II RT personnel qualification, and authorization of radiographic testing technical decisions.","Template-based / SKKNI NDT"
"Minyak Gas dan Pertambangan","Skema Okupasi Verifikator TKDN","Domestic Content (TKDN) Verifier","Skema sertifikasi Verifikator TKDN dikembangkan oleh LSP PPSDM Migas mengacu pada SKKNI Bidang Verifikasi Tingkat Kandungan Dalam Negeri (TKDN) Migas dan Peraturan Menteri ESDM tentang TKDN. Mencakup kompetensi verifikasi dan perhitungan TKDN pada pengadaan barang/jasa sektor migas, serta pelaporan kepatuhan TKDN.","The TKDN Verifier scheme references the SKKNI Domestic Content Verification Field and Ministry of ESDM regulations on TKDN. It covers TKDN verification and calculation in oil & gas sector goods/services procurement, and TKDN compliance reporting competencies.","Template-based / SKKNI Migas"
"Minyak Gas dan Pertambangan","Skema Okupasi Auditor Energi Listrik","Electrical Energy Auditor","Skema sertifikasi Auditor Energi Listrik dikembangkan mengacu pada SKKNI Bidang Audit Energi Kelistrikan. Mencakup kompetensi audit konsumsi energi listrik pada industri, analisis efisiensi energi, identifikasi peluang penghematan energi, dan penyusunan laporan audit energi listrik.","The Electrical Energy Auditor scheme references the SKKNI Electrical Energy Audit Field. It covers electrical energy consumption auditing in industries, energy efficiency analysis, energy-saving opportunity identification, and electrical energy audit report preparation competencies.","Template-based / SKKNI ESDM"
"Minyak Gas dan Pertambangan","Skema Okupasi Auditor Sistem Manajemen Lingkungan","Environmental Management System Auditor","Skema sertifikasi Auditor Sistem Manajemen Lingkungan dikembangkan mengacu pada SKKNI Bidang Audit Sistem Manajemen Lingkungan dan standar ISO 14001. Mencakup kompetensi perencanaan dan pelaksanaan audit SML, evaluasi kepatuhan terhadap ISO 14001, dan penyusunan laporan hasil audit SML.","The Environmental Management System Auditor scheme references the SKKNI EMS Audit Field and ISO 14001 standards. It covers EMS audit planning and execution, ISO 14001 compliance evaluation, and EMS audit report preparation competencies.","Template-based / SKKNI LH"
"Ketenagalistrikan (SKTTK)","Skema Okupasi Manager Pemeliharaan Instalasi Pemanfaatan Tegangan Rendah","Low Voltage Utilization Installation Maintenance Manager","SKTTK merupakan produk resmi dari Kementerian ESDM yang dikeluarkan melalui Direktorat Jenderal Ketenagalistrikan, diwajibkan oleh UU No. 30 Tahun 2009 tentang Ketenagalistrikan serta Permen ESDM No. 12 Tahun 2021. Skema jabatan Manager Pemeliharaan Instalasi Pemanfaatan Tegangan Rendah mencakup kompetensi merencanakan, mengorganisasikan, dan mengendalikan pemeliharaan instalasi pemanfaatan tenaga listrik tegangan rendah (di bawah 1 kV) untuk memastikan keandalan dan keselamatan operasi.","SKTTK is an official ESDM product issued through the Directorate General of Electricity, mandated by UU 30/2009 and Permen ESDM 12/2021. The Low Voltage Utilization Installation Maintenance Manager scheme covers competencies in planning, organizing, and controlling maintenance of low-voltage (below 1 kV) electrical utilization installations to ensure operational reliability and safety.","Verbatim-based (serkom.co.id)"
"Ketenagalistrikan (SKTTK)","Skema Okupasi Manager Pemeliharaan Instalasi Pemanfaatan Tegangan Menengah","Medium Voltage Utilization Installation Maintenance Manager","Skema SKTTK jabatan Manager Pemeliharaan Instalasi Pemanfaatan Tegangan Menengah dikembangkan berdasarkan Permen ESDM No. 12 Tahun 2021 dan UU No. 30 Tahun 2009. Mencakup kompetensi merencanakan dan mengelola pemeliharaan instalasi pemanfaatan tenaga listrik tegangan menengah (1 kV – 20 kV).","The Medium Voltage Utilization Installation Maintenance Manager SKTTK scheme is developed under Permen ESDM No. 12 of 2021 and UU 30/2009. It covers planning and managing maintenance of medium-voltage (1 kV – 20 kV) electrical utilization installations.","Template-based / Permen ESDM 12/2021"
"Ketenagalistrikan (SKTTK)","Skema Okupasi Manager Pemeliharaan Instalasi Pemanfaatan Tegangan Tinggi","High Voltage Utilization Installation Maintenance Manager","Skema SKTTK jabatan Manager Pemeliharaan Instalasi Pemanfaatan Tegangan Tinggi dikembangkan berdasarkan Permen ESDM No. 12 Tahun 2021 dan UU No. 30 Tahun 2009. Mencakup kompetensi merencanakan dan mengelola pemeliharaan instalasi pemanfaatan tenaga listrik tegangan tinggi (di atas 20 kV).","The High Voltage Utilization Installation Maintenance Manager SKTTK scheme is developed under Permen ESDM No. 12 of 2021 and UU 30/2009. It covers planning and managing maintenance of high-voltage (above 20 kV) electrical utilization installations.","Template-based / Permen ESDM 12/2021"
"Ketenagalistrikan (SKTTK)","Skema Okupasi Manager Pengoperasian Instalasi Pemanfaatan Tegangan Rendah","Low Voltage Utilization Installation Operations Manager","Skema SKTTK jabatan Manager Pengoperasian Instalasi Pemanfaatan Tegangan Rendah dikembangkan berdasarkan Permen ESDM No. 12 Tahun 2021 dan UU No. 30 Tahun 2009. Mencakup kompetensi merencanakan dan mengelola pengoperasian instalasi pemanfaatan tenaga listrik tegangan rendah.","The Low Voltage Utilization Installation Operations Manager SKTTK scheme is developed under Permen ESDM No. 12 of 2021 and UU 30/2009. It covers planning and managing operations of low-voltage electrical utilization installations.","Template-based / Permen ESDM 12/2021"
"Ketenagalistrikan (SKTTK)","Skema Okupasi Manager Pengoperasian Instalasi Pemanfaatan Tegangan Menengah","Medium Voltage Utilization Installation Operations Manager","Skema SKTTK jabatan Manager Pengoperasian Instalasi Pemanfaatan Tegangan Menengah dikembangkan berdasarkan Permen ESDM No. 12 Tahun 2021 dan UU No. 30 Tahun 2009. Mencakup kompetensi merencanakan dan mengelola pengoperasian instalasi pemanfaatan tenaga listrik tegangan menengah.","The Medium Voltage Utilization Installation Operations Manager SKTTK scheme is developed under Permen ESDM No. 12 of 2021 and UU 30/2009. It covers planning and managing operations of medium-voltage electrical utilization installations.","Template-based / Permen ESDM 12/2021"
"Ketenagalistrikan (SKTTK)","Skema Okupasi Manager Pengoperasian Instalasi Pemanfaatan Tegangan Tinggi","High Voltage Utilization Installation Operations Manager","Skema SKTTK jabatan Manager Pengoperasian Instalasi Pemanfaatan Tegangan Tinggi dikembangkan berdasarkan Permen ESDM No. 12 Tahun 2021 dan UU No. 30 Tahun 2009. Mencakup kompetensi merencanakan dan mengelola pengoperasian instalasi pemanfaatan tenaga listrik tegangan tinggi.","The High Voltage Utilization Installation Operations Manager SKTTK scheme is developed under Permen ESDM No. 12 of 2021 and UU 30/2009. It covers planning and managing operations of high-voltage electrical utilization installations.","Template-based / Permen ESDM 12/2021"
"Ketenagalistrikan (SKTTK)","Skema Okupasi Asisten Manajer Pemeliharaan Pemanfaatan Tegangan Menengah","Assistant Manager – Medium Voltage Utilization Maintenance","Skema SKTTK jabatan Asisten Manajer Pemeliharaan Pemanfaatan Tegangan Menengah dikembangkan berdasarkan Permen ESDM No. 12 Tahun 2021. Mencakup kompetensi membantu manajer dalam merencanakan dan mengawasi pemeliharaan instalasi pemanfaatan tenaga listrik tegangan menengah (1 kV – 20 kV).","The Assistant Manager – Medium Voltage Utilization Maintenance SKTTK scheme references Permen ESDM No. 12 of 2021. It covers competencies in assisting the manager in planning and supervising maintenance of medium-voltage (1 kV – 20 kV) electrical utilization installations.","Verbatim-based (serkom.co.id)"
"Ketenagalistrikan (SKTTK)","Skema Okupasi Asisten Manajer Pengoperasian Pemanfaatan Tegangan Menengah","Assistant Manager – Medium Voltage Utilization Operations","Skema SKTTK jabatan Asisten Manajer Pengoperasian Pemanfaatan Tegangan Menengah dikembangkan berdasarkan Permen ESDM No. 12 Tahun 2021. Mencakup kompetensi membantu manajer dalam merencanakan dan mengawasi pengoperasian instalasi pemanfaatan tenaga listrik tegangan menengah.","The Assistant Manager – Medium Voltage Utilization Operations SKTTK scheme references Permen ESDM No. 12 of 2021. It covers assisting the manager in planning and supervising operations of medium-voltage electrical utilization installations.","Template-based / Permen ESDM 12/2021"
"Ketenagalistrikan (SKTTK)","Skema Okupasi Teknisi Pembangunan dan Pemasangan Jaringan Tegangan Rendah","Low Voltage Network Construction & Installation Technician","Skema SKTTK jabatan Teknisi Pembangunan dan Pemasangan Jaringan Tegangan Rendah dikembangkan berdasarkan Permen ESDM No. 12 Tahun 2021. Mencakup kompetensi pembangunan dan pemasangan jaringan distribusi tenaga listrik tegangan rendah termasuk pengkabelan, komponen proteksi, dan pengujian instalasi.","The Low Voltage Network Construction & Installation Technician SKTTK scheme references Permen ESDM No. 12 of 2021. It covers constructing and installing low-voltage electricity distribution networks including cabling, protection components, and installation testing competencies.","Template-based / Permen ESDM 12/2021"
"Ketenagalistrikan (SKTTK)","Skema Okupasi Manager Pengoperasian Instalasi Stasiun Pengisian Kendaraan Listrik Umum (SPKLU)","Public EV Charging Station Operations Manager","Skema SKTTK jabatan Manager Pengoperasian Instalasi SPKLU dikembangkan berdasarkan Permen ESDM No. 12 Tahun 2021 dan regulasi SPKLU yang berlaku. Mencakup kompetensi pengelolaan operasional stasiun pengisian kendaraan listrik umum, pemeliharaan peralatan SPKLU, dan pengelolaan data transaksi pengisian daya.","The Public EV Charging Station Operations Manager SKTTK scheme references Permen ESDM No. 12 of 2021 and relevant SPKLU regulations. It covers managing public EV charging station operations, SPKLU equipment maintenance, and charging transaction data management competencies.","Template-based / Permen ESDM 12/2021"
"Ketenagalistrikan (SKTTK)","Skema Okupasi Pelaksana Madya Pembangunan dan Pemasangan Distribusi Tegangan Rendah","Middle Implementer – Low Voltage Distribution Construction & Installation","Skema SKTTK jabatan Pelaksana Madya Pembangunan dan Pemasangan Distribusi Tegangan Rendah dikembangkan berdasarkan Permen ESDM No. 12 Tahun 2021. Mencakup kompetensi pelaksanaan pembangunan jaringan distribusi tegangan rendah pada tingkat madya, koordinasi pekerjaan lapangan, dan pengendalian mutu pekerjaan.","The Middle Implementer – Low Voltage Distribution Construction & Installation SKTTK scheme references Permen ESDM No. 12 of 2021. It covers executing low-voltage distribution network construction at the middle level, field work coordination, and work quality control competencies.","Template-based / Permen ESDM 12/2021"
"Energi Baru Terbarukan","Skema Okupasi Ahli Geologi Panas Bumi","Geothermal Geologist","Skema sertifikasi Ahli Geologi Panas Bumi adalah skema sertifikasi okupasi yang dikembangkan oleh Komite Skema Lembaga Sertifikasi Profesi EBTKE Indonesia untuk memenuhi kebutuhan sertifikasi kompetensi kerja di LSP EBTKE Indonesia. Kode UK.EBTKE-027. Kemasan yang digunakan mengacu pada SKKNI Bidang Panas Bumi berdasarkan Kepmenaker No. 74 Tahun 2017.","The Geothermal Geologist occupational certification scheme (Code: UK.EBTKE-027) was developed by LSP EBTKE Indonesia, referencing the Geothermal SKKNI Kepmenaker No. 74 of 2017. It covers geothermal geological survey, subsurface data analysis, and geothermal resource potential assessment competencies.","Verbatim (lspebtke.co.id)"
"Energi Baru Terbarukan","Skema Okupasi Geothermal Rotary Equipment Inspector","Geothermal Rotary Equipment Inspector","Skema sertifikasi Geothermal Rotary Equipment Inspector dikembangkan oleh Komite Skema LSP EBTKE Indonesia mengacu pada SKKNI Bidang Panas Bumi berdasarkan Kepmenaker No. 74 Tahun 2017. Mencakup kompetensi inspeksi peralatan rotari (turbin, pompa, kompresor) pada pembangkit listrik tenaga panas bumi.","The Geothermal Rotary Equipment Inspector scheme references the Geothermal SKKNI Kepmenaker No. 74 of 2017. It covers inspection of rotary equipment (turbines, pumps, compressors) at geothermal power plants competencies.","Template-based / Kepmenaker 74/2017"
"Energi Baru Terbarukan","Skema Okupasi Senior / Chief Engineer Perencanaan PLTS (KKNI Level 7)","Solar Power Plant Planning Senior / Chief Engineer","Skema sertifikasi Senior/Chief Engineer Perencanaan PLTS (KKNI Level 7) dikembangkan oleh Komite Skema LSP EBT mengacu pada SKKNI Bidang Energi Surya/PLTS. Mencakup kompetensi perancangan sistem PLTS berskala utilitas, studi kelayakan teknis, pengelolaan kontrak EPC PLTS, dan pengujian kinerja sistem PLTS.","The Solar Power Plant Planning Senior/Chief Engineer (KKNI Level 7) scheme references the SKKNI Solar Energy/PLTS Field. It covers utility-scale PLTS system design, technical feasibility studies, PLTS EPC contract management, and PLTS system performance testing competencies.","Template-based / SKKNI EBT"
"Energi Baru Terbarukan","Skema Okupasi Operator Senior Pemasangan PLTS Atap","Senior Rooftop Solar PV Installer","Skema sertifikasi Operator Senior Pemasangan PLTS Atap dikembangkan oleh Komite Skema LSP EBT mengacu pada SKKNI Bidang Energi Surya/PLTS Atap. Mencakup kompetensi pemasangan modul surya, inverter, sistem baterai, dan pengkabelan sistem PLTS atap, serta komisioning dan pengujian sistem.","The Senior Rooftop Solar PV Installer scheme references the SKKNI Rooftop Solar PV Field. It covers solar module, inverter, battery system, and rooftop PLTS cabling installation, as well as system commissioning and testing competencies.","Template-based / SKKNI EBT"
"Energi Baru Terbarukan","Skema Okupasi Inspektur Muda Pemeriksaan dan Pengujian PLTS","Junior PV Inspection & Testing Inspector","Skema sertifikasi Inspektur Muda Pemeriksaan dan Pengujian PLTS dikembangkan oleh Komite Skema LSP EBT mengacu pada SKKNI Bidang Energi Surya/PLTS. Mencakup kompetensi pemeriksaan visual dan pengujian kinerja modul surya, inverter, dan sistem PLTS secara keseluruhan.","The Junior PV Inspection & Testing Inspector scheme references the SKKNI Solar Energy/PLTS Field. It covers visual inspection and performance testing of solar modules, inverters, and overall PLTS systems competencies.","Template-based / SKKNI EBT"
"Energi Baru Terbarukan","Skema Okupasi Pelaksana Kelistrikan dan Pembangunan PLTS","Solar PV Electrical & Construction Implementer","Skema sertifikasi Pelaksana Kelistrikan dan Pembangunan PLTS dikembangkan oleh Komite Skema LSP EBT mengacu pada SKKNI Bidang Energi Surya/PLTS. Mencakup kompetensi pelaksanaan pekerjaan sipil dan elektrikal dalam pembangunan PLTS, pemasangan struktur penyangga modul, dan instalasi sistem kelistrikan PLTS.","The Solar PV Electrical & Construction Implementer scheme references the SKKNI Solar Energy/PLTS Field. It covers civil and electrical work execution in PLTS construction, module support structure installation, and PLTS electrical system installation competencies.","Template-based / SKKNI EBT"
"Energi Baru Terbarukan","Skema Okupasi Teknisi PLTMH","Mini-Hydro Power Plant Technician","Skema sertifikasi Teknisi PLTMH (Pembangkit Listrik Tenaga Mini Hidro) dikembangkan oleh Komite Skema LSP EBT mengacu pada SKKNI Bidang Energi Air. Mencakup kompetensi pengoperasian dan pemeliharaan turbin air, generator, sistem kontrol, dan peralatan sipil PLTMH.","The Mini-Hydro Power Plant Technician scheme references the SKKNI Hydroelectric Field. It covers operating and maintaining water turbines, generators, control systems, and civil works equipment of mini-hydro power plants competencies.","Template-based / SKKNI EBT"
"Energi Baru Terbarukan","Skema Okupasi Teknisi PLTB","Wind Power Plant Technician","Skema sertifikasi Teknisi PLTB (Pembangkit Listrik Tenaga Bayu) dikembangkan oleh Komite Skema LSP EBT mengacu pada SKKNI Bidang Energi Angin. Mencakup kompetensi pengoperasian dan pemeliharaan turbin angin, sistem nacelle, rotor, tower, dan sistem koneksi ke jaringan.","The Wind Power Plant Technician scheme references the SKKNI Wind Energy Field. It covers operating and maintaining wind turbines, nacelle systems, rotors, towers, and grid connection systems competencies.","Template-based / SKKNI EBT"
"Energi Baru Terbarukan","Skema Okupasi Teknisi PLTBg / PLTBm / PLTSa","Biogas / Biomass / Waste-to-Energy Power Plant Technician","Skema sertifikasi Teknisi PLTBg/PLTBm/PLTSa dikembangkan oleh Komite Skema LSP EBT mengacu pada SKKNI Bidang Bioenergi mencakup Pembangkit Listrik Tenaga Biogas (PLTBg), Biomassa (PLTBm), dan Sampah (PLTSa). Mencakup kompetensi pengoperasian dan pemeliharaan sistem konversi energi biomassa/biogas/sampah menjadi tenaga listrik.","The Biogas/Biomass/Waste-to-Energy Power Plant Technician scheme references the SKKNI Bioenergy Field covering PLTBg, PLTBm, and PLTSa. It covers operating and maintaining biomass/biogas/waste-to-energy conversion systems for electricity generation competencies.","Template-based / SKKNI EBT"
"Manufaktur Otomotif dan Industri","Skema Okupasi Engine Tune Up Konvensional","Conventional Engine Tune-Up","Skema sertifikasi Engine Tune Up Konvensional dikembangkan oleh Komite Skema LSP Otomotif mengacu pada SKKNI Bidang Otomotif berdasarkan Kepmenaker No. 96 Tahun 2018. Mencakup kompetensi pemeriksaan dan penyetelan mesin bensin konvensional (karburator), termasuk sistem pengapian, sistem bahan bakar, dan sistem pendingin.","The Conventional Engine Tune-Up scheme references Automotive SKKNI Kepmenaker No. 96 of 2018. It covers conventional gasoline engine (carburetor) inspection and adjustment, including ignition systems, fuel systems, and cooling systems competencies.","Template-based / Kepmenaker 96/2018"
